author	keywords
vincentdanjean	quand***argument***fédération***nationale***presse***information***spécialisée***suis***outré***cite***faut***rappeler***indispensable***travail***édition***intermédiation***effectué***éditeurs***sélection***organisation***évaluation***validation***peer***reviewing***structuration***édition***impression***distribution***imprimée***numérique***archivage***assurer***diffusion***pérenne***information***vérifiée***qualité***suis***accord***mais***laisser***entendre***comme***fait***reste***commentaire***tout***ceci***charge***éditeur***mensonger***minimum***sélection***organisation***évaluation***validation***peer***reviewing***sont***tâches***assurées***gratuitement***bénévolement***même***communauté***chercheur***publie***dans***revues***structuration***édition***sont***parfois***aussi***prise***charge***communauté***dépend***journaux***communautés***reste***impression***distribution***imprimée***numérique***archivage***beaucoup***chercheurs***contenterait***volontier***accès***numérique***reste***donc***distribution***archivage***parfois***structuration***édition***bien***communauté***chercheur***paye***vraiment***très***cher***services***rapport***travail***fourni***gratuitement***toutes***autres***tâches***listées***dans***certaines***communautés***comités***lecture***cœur***travail***démissionner***collectivement***refonder***journal***similaire***mais***utilisant***plateformes***ouvertes***pour***distribution***électronique***archivage***journal***initial***éditeur***effondre***alors***littéralement***étonnant***éditeur***apporte***tant***choses***très***compréhensible***éditeur***apporte***chose
mti131	pourquoi***laisser***chercheur***financé***état***publie***résultats***dans***revue***choix***faire***donc***aussi***choix***faire***cette***publication***gratuite***devrait***être***devoir***simple***droit***mois***pour***publications***sciences***humaines***sociales***beaucoup***trop
mathieustumpfguntz	note***interface***devrait***cohérence***avec***possibilités***vote***proposer***commentaires***mitigés***devrait***ailleurs***avoir***espace***pour***faire***retours***processus***consultation***mise***œuvre***technique***pour***proposition***commentaire***vient***appuyer***autres***déjà***publiés***distinction***discipline***publication***_immédiate_***sans***délais***sous***conditions***favorise***acquisition***amélioration***tous***acteurs***intéressé***exemple***diffusion***sous***licence***libre***revue***pairs***nécessaire***pour***amélioration***qualité***œuvres***scientifiques***mais***insuffisantes***pour***atteindre***qualité***républicaine***mettre***comité***restreint***dans***processus***opaque***filtrage***œuvres***favoriser***probabilité***émergence***corruption***particulièrement***inquiétant***sciences***humaines***soient***source***plus***critique***sein***disciplines***scientifiques***biais***cherchant***privilégier***groupe***social
francoisrobinet	article***tendance***tout***gratuit***sous***tend***semble***aussi***poser***manière***nécessaire***question***effets***gratuité***perception***individus***font***production***humaine***nous***gagnerions***exemple***mieux***nous***informer***conséquences***généralisation***streaming***ligne***téléchargement***gratuit***rapports***entretenus***monde***musique***avec***publics***effets***généralisation***gratuité***création***entravée***possibilité***diffusion***sont***multipliées***manière***exponentielle***cependant***jamais***aussi***difficile***pour***artistes***début***carrière***trouver***modèle***économique***leur***permettant***payer***leurs***musiciens***séances***studio***voire***leurs***tournées***sauf***être***subventionnés***fonds***publics***produire***contenu***attractif***pour***quelques***labels***manière***plus***essentielle***encore***dans***quelle***mesure***cette***tendance***gratuité***elle***aussi***affecté***valeur***jeunes***générations***confèrent***singularité***acte***création***préciosité***sein***sociétés***contemporaines***dans***domaine***information***recours***massif***gratuité***offre***ores***déjà***quelques***enseignements***apports***dangers***recours***pratiques***représentations***équilibres***économiques***monde***médias***lors***défense***gratuité***serait***absolue***immédiate***peut***avérer***utile***pour***conférer***certains***biens***communs***valeur***reconnue***partagée***tous***vertu***utilité***scientifique***mais***aussi***politique***sociale***savoirs***produits***plutôt***formatage***risquerait***imposer***article***approche***plus***fine***serait***voir***comment***modèle***mixte***peut***être***pérennisé***tout***favorisant***large***accès***publications***biais***mesures***adaptées***réduction***durée***embargo***mois***suppression***celle***quelques***productions***spécifiques***bien***ciblées***articles***présentation***dossiers***pages***recension***version***synthétiques***articles***pourraient***être***open***access***faible***coût***téléchargement***numéro***entier***faut***sens***garantir***revues***possibilité***moduler***leur***ouverture***open***access***fonction***leurs***spécificités***termes***production***diffusion***publics***marges***manœuvres***permettraient***encourager***initiative***innovation***liberté***création***diffusion***service***revues***capables***affirmer***identités***projets***singuliers***définis***collectifs***chercheurs***relativement***autonomes***grâce***appui***éditeur***équipe***consolidation***modèle***empêcherait***rien***essor***autres***voies***voix***green***accès***freemium***modèle***auteur***payeur***pour***revues***comités***rédaction***choisiraient***engager***plus***massivement***encore***vers***open***access***sans***doute***dans***cette***pluralité***propositions***sciences***humaines***sociales***françaises***seraient***plus***même***mettre***valeur***leur***richesse***leur***dynamisme***auprès***chercheurs***français***étrangers***mais***aussi***auprès***publics***spécifiques***comme***celui***étudiants***enseignants***secondaire***effets***réduction***embargo***prévu***article***semblent***devoir***être***quantifiés***manière***extrêmement***précise***afin***garantir***maintien***diversité***formes***publications***scientifiques***france***réduction***aveugle***massive***cette***durée***tout***gratuit***risquerait***effet***mettre***péril***existence***revues***cherchent***depuis***quelques***années***dans***partenariat***public***privé***définir***modèle***économique***partie***fondé***ventes***ligne***modèle***possède***avantage***être***trop***dépendant***subventions***publiques***dans***contexte***celles***sont***forte***réduction***ventes***articles***numériques***avèrent***alors***être***précieux***supports***dynamisme***revues***compris***dans***certaines***tentatives***relance***publications***papier***peuvent***trouver***leur***justification***dans***affirmation***ligne***éditoriale***forte***projet***dossiers***thématiques***dans***recherche***visibilité***distinction***ainsi***dans***spécificités***archivage***papier***cette***possibilité***modèle***mixte***papier***numérique***avec***vente***articles***détail***doit***permettre***recherche***française***conserver***large***éventail***modes***publication***sans***montrer***trop***dépendante***stratégies***politiques***susceptibles***évoluer***grès***pouvoirs***place***importance***derniers***pourront***accorder***sciences***humaines***sociales
heinerwittmann	disposition***lorsque***écrit***scientifique***issu***activité***recherche***financée***moins***pour***moitié***fonds***publics***pourrait***prêter***errreurs***aucun***scientifique***reçoit***aide***financière***publique***ensuite***travailler***toutes***investissemements***antérieurs***sont***ajouter***finances***rendu***possible***publication***fond***pubics***concourent***pour***petite***partie***investissements***accord***pour***phrase***alinéa***auteur***même***cession***exclusive***éditeur***dispose***droit***mettre***disposition***gratuitement***sous***forme***numérique***revient***auteur***décider***texte***sera***accessible***libre***accès
filippoalbertoedoardonuccio	idée***bonne***mais***elle***manque***applicabilité***risque***dans***état***actuel***donner***lieu***plusieurs***vide***judiciaires***abord***distinction***entre***sciences***humaines***sciences***pure***arbitraire***pourrait***mener***débats***mathématique***financière***psychanalyse***étude***didactique***sciences***deuxième***lieu***limites***embargo***peuvent***être***uniformes***pour***domaines***même***scientifiques***biologie***délais***mois***rend***travail***préhistorique***mathématiques***embargoen***dessous***mois***passerait***presque***inaperçu***pénaliserait***énormément***éditeurs***impossibilité***profiter***commercialement***risquée***beaucoup***laboratoires***recherche***profitent***revenus***pour***financier***partiellement***encore***vaste***partie***publications***produites***chercheurs***français***voit***coauteurs***étrangers***pourraient***être***soumis***règles***différentes***cecidoit***être***spécifié***réglementé***risque***rendre***collaborations***avec***france***moins***profitables***finalement***comme***dans***direction***green***open***access***telle***lois***pourrait***voir***jour***lorsque***bibliothèques***universitaires***seraient***prêtes***subventionnées***pour***passage***champ
blaisegenest	delai***embargo***beaucoup***trop***long***plus***long***maximum***préconisé***commission***européénne***mois***faut***tout***simplement***embargo***tout***editeurs***disposent***deja***rente***avec***articles***1995***monnayent***plus***plus***cher***pour***deniers***publics***finance***recherche***acces***recherche***comble
marionaubry	recherche***publique***financée***contribuable***normal***elle***soit***accès***libre***tout***citoyen
guillaumecarret	réponse***syndicat***national***édition***vous***invite***lire***exemple***état***ubuesque***actuel***choses***atterrant***voir***modèle***économique***chercheur***paie***somme***élevée***pour***publier***travail***bien***souvent***financé***fonds***publics***fait***corriger***gratuitement***pairs***fait***mise***page***tout***seul***comme***grand***doive***encore***payer***supplément***pour***avoir***bonheur***être***publié***open***access***quand***travail***reste***éditeur***minime***éditeurs***profitent***notre***course***effrénée***facteur***pour***nous***demander***prévoir***budgets***réellement***adéquats***pour***acquisition***ressources***numériques***comme***beau
isabelleramade	aucun***embargo***nécessaire***passe***revues***éditeurs***devient***possible***numérique***réseau***avec***internet***chercheurs***effectuent***déjà***travail***recherche***écriture***articles***mise***forme***automatisée***toute***façon***aussi***surtout***relecture***articles***autres***chercheurs***peer***reviewing***tout***gracieusement***éditeurs***plus***couts***antan***revues***papier***maximisent***profits***soit***vendant***lecteursl***abonnement***revueou***lecture***articlenumérique***unité***prix***soit***vendant***chercheurs***leurs***institutions***droit***publier***dans***revue***prétendu***libre***accès***version***éditeurs***pour***mémoire***archives***ouvertes***financées***institutions***existent***déja***delà***archives***ouvertes***commencent***exister***plateformes***revues***virtuelles***bien***entendu***ouvertes***institutionnelles***comme***http***episciences***ccsd***idée***principale***fournir***plate***forme***technique***examen***pairs***peer***reviewing
