userA	userB	score
frederichelein	lucaudrain	1
mariefarge1	pbernard	2
bossuet	olivierjacquot	2
thierryfournier	danielbourrion	4
roux3	marlenedelhaye	2
editionsgallimard	christianlavault1	1
alainherreman	silvanodalzilio	1
jeanchristophebach	yadlajoie	3
claudeniatel	nicolasbraudsantoni	5
fabienduprat	editionsdalloz	1
franckinfodocbib1	odilebenassy2	3
gregoire	meheut	2
noelthiboud	briot	4
clairesaulou	yadlajoie	4
romainbazile	aicardistephane	1
mauran	nicolasbraudsantoni	1
olivierjacquot	vincentbattesti	2
chauvinbrigitte	williamtriggs	5
martinecourbincoulaud	alaincimino	2
javellejeanpierre	griddock	3
laurentlyaudet	francoisbriat	2
bernardteissier	jonathancrequer	1
dsa	olivierjacquot	1
ernoult	mathieusaby	3
juliendupredebaubigny	alexandredouvry	2
marieannepaveau	vincentdanjean	5
vincentleclere	juko	1
frederichelein	isabellekrzywkowski	1
alainberetzpresidentdeluniversitedestrasbourg	christophebrocquet	5
cbernault	christophepavlides	1
hankahensens	francoisrevol	3
guillainpotron	durandaline	5
arnalcedric	juliengilet1	4
marcmezzarobba	odilecontat	2
duflotjeanluc	lucazeau	2
julianbh	jeanbaptistemouret	6
celinevautrin	francisandre	5
teodorknapik	gaelleriverieux	1
aeris	claudeniederlender	1
cecilearmana	etiennepariat	5
jeremiebettinelli	brunodurand	5
pierre1	benjaminguichard	3
hubertguillaud	stephanemagnier	2
chantalviala	benjaminprevost	4
courtoischantal	legendre	1
sbauin	thierryfournier	9
sophiepochic	epristassociationdesresponsablesistdesorganismesderecherchefrancais	2
epristassociationdesresponsablesistdesorganismesderecherchefrancais	hankahensens	5
pierrev	maxenceguesdon	2
inptoulouseinstitutnationalpolytechniquedetoulouse	olivierbuffet	1
patrickmassot	alexandrenolin	2
sylvainschmitz	marindacos	3
annickvalibouze	nicolasbraudsantoni	2
leblancannie	manuelclergue	3
briot	justineancelin	1
juliengilet1	laurentromary	4
juliengilet1	pascaltobaly	4
arnalcedric	juliedacos	4
hubertguillaud	jeanlouisbougeret	1
lestage1	fredericclavert	1
darquy1	hcyinguyenvan	3
romainboistel	antoninchambolle	1
nikolaykovachev	aymerich	4
chauvinbrigitte	cecilearmana	2
jeanlouisbougeret	gregallaire	2
rmathis	clairelemercier	6
jeanfrancoislutz	claudeniederlender	4
olivierchapuis	mathieusaby	1
laurapallez	aicardistephane	3
deputeeisabelleattard	francistrautmann	5
catusciapalamidessi	schwartzlionel	4
olivierchapuis	leboecla	2
franckinfodocbib1	catherineperrin	3
brundominique1	delphinedebarre	1
frederiqueflamerie	julienbect	4
geraldineniateldacos	maxb	4
francoisetruffert	marielaurebretin	4
teodorknapik	fredericmandon	2
teodorknapik	schwartzlionel	2
alainmarois	jonathancrequer	1
gabrielllang	alexandredouvry	2
chauvinbrigitte	antonindelpeuch	3
aymericpoulainmaubant	yadlajoie	1
francoisgeze	arthurguillon	1
maisonobeluc	charlenecriton	2
marieannepaveau	florianmoreau	1
jeanmarielebechec	antoninchambolle	1
pierre1	hurtersavie	2
salvetatfrancoise	jeanmallet	2
miklarzclement	brunoringeval	3
epristassociationdesresponsablesistdesorganismesderecherchefrancais	alaincimino	3
delphinedebarre	anthonymasure	3
nieddu	juliendupredebaubigny	5
nicolaslemoine	matthieumoy	3
magariel	lacourclaire	1
christophebrocquet	leblancannie	1
francoislermigeaux	nicolaslemoine	1
dissemin	alainmarois	5
anneclairelepicard	catherinelandry	4
victorkalt1	josettelapeyre	4
thomasletendre	jozefinasadowska	4
superchaton	rousseauhans	1
patricebellot1	fabienlabarthe	7
arnalcedric	etiennepariat	7
samsond	eliemichel	5
franckinfodocbib1	javellejeanpierre	2
olivierpantale	nicolaslemoine	2
juliengilet1	leinardifrancesca	2
gabrielllang	pascalweil	3
bernardloic	davidmonniaux	2
baratault	frederiquelangue	5
arnalcedric	jeannevarasco	2
fredericchapoton	chekib1	3
christophebrocquet	celinesmith	4
guillaumeaupy	durandaline	3
franckinfodocbib1	guillaumequeruel	2
didierbailhous	ramdanikarim	1
inptoulouseinstitutnationalpolytechniquedetoulouse	catherineperrin	1
jeankempf	legendre	4
valleemaxime	giselemaxit	1
jeanchristophepeyssard	anneclairelepicard	2
marieannepaveau	francoisrobinet	1
cecilearmana	charlenecriton	1
nolwennmaudet	isabellegouat	4
franckinfodocbib1	pierremounier	1
bossuet	romainboistel	2
alainberetzpresidentdeluniversitedestrasbourg	jaimelire	1
aicardistephane	olivierlegall1	3
francoisxaviermas	quentingrimaud	2
sophiepochic	gambazza	1
martinecourbincoulaud	sevankazandjian	2
huguesvanbesien	durandaline	2
juliejanody	nicolasbraudsantoni	5
syndicatnationaldeledition	francisandre	1
gabrielscherer	doctorant	3
maisonobeluc	marieferrazzini	3
editionsdalloz	baselopresse	8
henrigaly	christianlavault1	2
epristassociationdesresponsablesistdesorganismesderecherchefrancais	violainev	2
justineancelin	cecileadamolle	1
geraldineniateldacos	pierrenaegelen	4
nicolaslemoine	eliemichel	4
claudeniederlender	fortyannick	2
merlet	duflotjeanluc	4
marlenedelhaye	chekib1	4
christophebrocquet	briot	2
cedrictemple	sebastienbenzekry	2
aurelienberra	coret	4
cedrictemple	ackervalerie	4
vincentreverdy	lionelrieg	4
patricebellot1	victorlefevre	2
martinecoppet	sorouletpillon	2
emmanuellehelly	giselemaxit	3
nikolaykovachev	legendre	4
odilecontat	davidmonniaux	6
nicolasdumoulin	patrickfenouil	1
rmathis	fortyannick	2
fizcus	briot	1
thomasletendre	brunoringeval	1
stornecatherine	pascalweil	2
nieddu	pascalearaujo	2
guillaumequeruel	stephanemagnier	2
arramyleroux	chantalviala	3
marieferrazzini	agnesletouzey	2
catusciapalamidessi	henrigaly	2
minpicault	gaelleriverieux	1
isabelleramade	arnaudlerouzic	1
gibierfrancois	laurentromary	5
sgl	francoisbriat	2
teodorknapik	catherineperrin	1
hubertguillaud	christineleininger	2
samsond	patrickfenouil	1
annepoupon	francoisetruffert	1
simona	favreau	2
fredericclavert	geoffreyharaux	3
favreguillaume	ludivineabd	3
davidbenoist	caroleb	4
jeanfrancois	prescillialagarrigue	1
pascalelalot	francistrautmann	2
alabau	pierreboulet1	3
bossuet	doctorant	1
franckinfodocbib1	sbauin	6
fontaine	ol	1
nicolasdumoulin	inradistodilehologne	1
alabau	charlenecriton	1
fabienandre	christinelebas	1
bossuet	odilehennaut	1
nicolasdandrimont	nicolasquenouille	1
yannbonnet	julianbh	3
cedrictemple	charara	2
davidbenoist	patricetorguet	3
davidbaelde	favreau	2
annickvalibouze	hurtersavie	3
fabienmalbet	pierrickkoch	1
virgileprevosto	laurentbercot1	2
alexiskauffmann	teodorknapik	1
vincentleclere	florianmoreau	2
laurentbercot1	chantalbarutau	3
hugogimbert	jeansebastienkrollrabotin	2
emmanuelthome	ludivineabd	4
sebastienbenzekry	ol	1
ratsimandravasuzanne	albertcohen	2
benjaminbourdon	hadrienvroylandt	1
lestage1	chekib1	2
antoinelejay	laurent	1
noelthiboud	sorouletpillon	6
charara	marieevegeiger	3
ackervalerie	mauleskinemouraby	3
florianmoreau	hadrienvroylandt	1
nicolasdandrimont	duhamellechristophe	1
dissemin	coret	1
mag	amicfrouvelle	2
juliendupredebaubigny	elodieponcet	1
gabrielllang	ralphmatthes	1
quentingrimaud	jaimelire	1
mathildedacos	florencebouillon	7
rousseauhans	pierrefleury1	1
laurentlyaudet	victorlefevre	1
bernardloic	juliendupredebaubigny	2
sophiepochic	francoisparreau	2
rmathis	lionelrieg	2
vincentreverdy	leblancannie	5
franckinfodocbib1	vincentleclere	1
jeansebastienkrollrabotin	geoffreyharaux	1
adelineregeuniversitedestrasbourg	pablorauzy	2
jeanpierregesbert	odilebenassy2	5
valeriehurtevent1	maximeaudinot	2
olivierchapuis	leclercarmelle	2
editionsgallimard	jeanpierrepetard	2
gregorycolcanap	anthonymasure	1
miklarzclement	agnesletouzey	5
pierre1	juliendupredebaubigny	3
maisonobeluc	christinedemazieres	1
jeanfrancoislutz	valerielarroque	4
carolinelandry	hadrienvroylandt	1
fouillet	geoffreyharaux	2
victorkalt1	danielbourrion	3
benoitpier1	frederiquelangue	5
christineleininger	charlenecriton	1
mathieuperona	benjaminprevost	2
celialentretien	thierryfournier	3
catusciapalamidessi	olivierlegall1	3
hurtersavie	benjaminprevost	3
adrienfabre	valeriehurtevent1	3
annebergez	sorouletpillon	4
juliengilet1	isabellegouat	4
jeanbaptistemouret	louisjachiet	5
stornecatherine	beorchia	3
louiseberaudlefranc	clementtisserant	4
minpicault	emmanuelhadoux	3
benoitrkloeckner	pierreboulet1	2
stornecatherine	agnesraymonddenise	3
jeanchristophepeyssard	sandrinemalotaux	7
franckinfodocbib1	pierrenaegelen	2
arnaudferraris	isabellegouat	1
cenacpeggy	ramdanikarim	4
buloismichael	odilebenassy2	4
davidmonniaux	juliengrenet1	4
pierrefenouil	horatiucirstea	1
lucazeau	laurent	1
francoisgeze	fredericclavert	1
sylvainschmitz	emiliebrunet	1
isabellekrzywkowski	philippegambette	1
benjaminguichard	claudeloverdo	4
anthoinebourgeois	arnaudferraris	4
julienbect	nicolaslemoine	2
arnalcedric	claudeniatel	5
jeremiedetrey	dissemin	3
stephanepouyllau	clairelemercier	6
brunoringeval	davidmonniaux	4
sebastienlebonnois	prescillialagarrigue	1
thierryfournier	vincentleclere	1
consortiumcouperin	josettelapeyre	1
sophiepochic	alainmarois	4
chauvinbrigitte	pascalweil	3
benoitrkloeckner	gaelbordet	1
antoninchambolle	christinelebas	1
alexandrenolin	mathieusaby	2
philippehoudry	francoisducrocq	2
patricebellot1	adrienchopin	3
annickvalibouze	glize	3
allia	emmanuellecorne	8
jeremieroche	juliendupredebaubigny	1
ouriachioussama	stornecatherine	2
celinefouga	catherinelandry	5
cedrictemple	simona	1
philippehoudry	annebergez	2
marcmezzarobba	chekib1	3
pierremounier	nikolaykovachev	2
franckinfodocbib1	louiseberaudlefranc	3
patricebellot1	hcyinguyenvan	4
stephanebortzmeyer	philippegambette	1
guillainpotron	gabrielllang	1
geraldineniateldacos	valentinplichon	1
romainbazile	valeryxavierlentz	1
ernoult	nicolasdandrimont	5
cedricolivierturrin	patricetorguet	6
leboecla	raclet	4
christophebrocquet	frederiquelangue	4
jeremiebettinelli	marcchardin	3
vincentleclere	francistrautmann	1
gambazza	pierrefleury1	3
albertcohen	gwendalb	2
alaincimino	brunodurand	2
pbernard	pn	1
christineleininger	aicardistephane	4
sylvainpogodalla	nikolaykovachev	2
dominiquelechaudel	stephanemagnier	1
gittonvincent	briot	2
fouillet	pascalearaujo	2
olivierbuffet	giselemaxit	3
sebastienbenzekry	gesbert	4
hankahensens	francoisparreau	3
courtoischantal	juliengrenet1	2
emmanuellecorne	delphinedebarre	5
odilehennaut	amicfrouvelle	1
stephanepouyllau	audreysteinberger	1
kevinperrot	amicfrouvelle	1
inradistodilehologne	juliengilet1	4
christineleininger	vivienripoll	4
hugogimbert	romainbazile	1
agnesletouzey	claudeniatel	3
claudeniederlender	juliedacos	1
jeanlouisbougeret	duflotjeanluc	6
arnalcedric	adrienkrahenbuhl	1
franckinfodocbib1	emmanuellehelly	1
pascalelalot	olivierlegall1	6
buloismichael	alexandredouvry	1
jeanlucdeochandiano	sorouletpillon	3
sgl	audeleblond	2
ernoult	benoitpier1	3
marieferrazzini	danielbourrion	3
benoitpier1	gambazza	2
pierrenaegelen	vincentdanjean	2
nicolasdandrimont	jouannigot	1
laurent	marcjeanmougin	9
hugogimbert	francoisparreau	1
damienrobert	jeanmallet	3
patricebellot1	jaimelire	1
ouriachioussama	barbarameazzi	3
francoisbriat	christianlavault1	2
nicolasrs	cecileadamolle	2
maximeaudinot	juriconnexion	2
odilecontat	remiwatrigant	2
jeannevarasco	celinefouga	2
mariehelenedacos	rousseauhans	4
jeremienuel	sevankazandjian	1
valeryxavierlentz	silvanodalzilio	2
antoineamarilli	annebergez	5
glize	cavetdominique	3
hankahensens	charlenecriton	4
jeremiebettinelli	annebergez	7
ernoult	souzani	2
francoisxaviermas	juliejanody	4
williamtriggs	paulgirard	3
cavetdominique	thomaslamarche	4
olivierchapuis	lacourclaire	1
aeris	guillaumeaupy	2
pascalelalot	gregorycolcanap	2
stephanepouyllau	salvetatfrancoise	1
guillainpotron	remiwatrigant	3
rousseauhans	annebergez	4
inradistodilehologne	olivierlegall1	6
guillaumequeruel	kevinperrot	2
olivierchapuis	editionsgallimard	1
pierrickgaudry	vincentbattesti	2
epristassociationdesresponsablesistdesorganismesderecherchefrancais	celialentretien	2
bernieseek	marielaurebretin	3
isabelleramade	louisjachiet	1
hadrienvroylandt	francoisbriat	1
christophepavlides	laurentlopez	3
marieferrazzini	romainboistel	3
arramyleroux	vincentleclere	1
christofschoch	victorkalt1	4
catherinelandry	leinardifrancesca	2
isabelleramade	oliviermorin1	1
francoislermigeaux	griddock	2
miklarzclement	josettelapeyre	4
quentingrimaud	thierychanier	1
christinekosmopoulos	pascalearaujo	2
anthoinebourgeois	nieddu	2
juliengilet1	elodieponcet	1
dominiquelechaudel	rousseletlouis	2
maxenceguesdon	benjaminprevost	2
elianedaphy	chevallierchantepie	1
christinekosmopoulos	davidbaelde	2
darquy1	durandaline	3
stephaniegroudiev	caroleb	3
nicolaspetitdemange	olivierlegall1	3
ratsimandravasuzanne	raclet	2
francoisparreau	fontaine	1
audeleblond	thomasletendre	1
bernardloic	griddock	2
magariel	ericdaspet	3
pocinho	marindacos	2
salvetatfrancoise	olivierlegall1	6
ericf	christofschoch	2
gregallaire	anthonymasure	2
gabrielscherer	pascalweil	2
nicolasdandrimont	barbarameazzi	3
quentingrimaud	chekib1	1
bossuet	nicolasbraudsantoni	1
sergenoiraud	giselemaxit	1
laurapallez	benjaminprevost	1
clairesaulou	gabrielscherer	1
gesbert	actessud	1
bossuet	emiliebrunet	3
magariel	valentinplichon	2
superchaton	francoisetruffert	1
jeansebastienkrollrabotin	vorosandre	1
alainberetzpresidentdeluniversitedestrasbourg	jeanfrancois	4
albertcohen	mauleskinemouraby	1
christophebrocquet	gabrielscherer	2
francoisgeze	alainmarois	1
epristassociationdesresponsablesistdesorganismesderecherchefrancais	maccall	1
julienbect	briot	5
martinecourbincoulaud	yannbonnet	3
pierrickkoch	laurentlopez	4
christophebrocquet	aurelienberra	5
allia	antonindelpeuch	9
heraultfrederic	claudeloverdo	2
fredericdanielluclehobey	francoisducrocq	3
antoinelejay	mag	3
coret	albertcohen	3
arnalcedric	leoducas	3
roux3	philippegambette	2
francoisxaviermas	victorkalt1	3
heraultfrederic	cecileclavaud	2
inptoulouseinstitutnationalpolytechniquedetoulouse	anneclairelepicard	2
pascaltobaly	guillaumerobert	1
griddock	emmanueld	1
laurevieu	hugol	3
hugogimbert	benoitpier1	2
dominiquelechaudel	suzannemallet	1
severinlemaignan	chevallierchantepie	2
adelineregeuniversitedestrasbourg	juliengilet1	4
adelineregeuniversitedestrasbourg	ericdaspet	4
christinekosmopoulos	mag	4
ericf	nehemiestrupler	3
bossuet	catherinelandry	3
fredericclavert	charara	4
maisonobeluc	inradistodilehologne	3
stephaniegroudiev	jeanmallet	2
annecanteaut	aeris	3
sylvainpogodalla	alexiskauffmann	1
courtoischantal	cecileadamolle	4
magariel	jeanchristophebach	3
valeriehurtevent1	juliendupredebaubigny	4
doctorant	jeanmarielebechec	1
marieannepaveau	sebastienbenzekry	2
rmathis	benoitrkloeckner	1
arramyleroux	mag	2
sylvaincrovisier1	cavetdominique	5
minpicault	bibliophile	1
sylvainschmitz	julienbect	3
pascaltobaly	ralphmatthes	3
castelainjeanchristophe	nikolaykovachev	1
castelainjeanchristophe	philippehoudry	1
prescillialagarrigue	marindacos	4
valeriehurtevent1	agnesletouzey	4
raclet	marielaurebretin	3
nicolasrs	kevinperrot	1
ludivineabd	juriconnexion	1
federationnationaledelapressedinformationspecialisee	benoitrkloeckner	3
prescillialagarrigue	olivierlegall1	4
fredericdanielluclehobey	nicolasbarts	1
colettecadiou	guillaumecabanac	3
jeanchristophepeyssard	odilebenassy2	6
ernoult	buloismichael	2
gabrielllang	arnaudlerouzic	1
antoinelejay	fredericherbreteau	2
epristassociationdesresponsablesistdesorganismesderecherchefrancais	pascalelalot	3
jeremiedetrey	agnesraymonddenise	1
brunodurand	deputeeisabelleattard	3
pierrickkoch	horatiucirstea	3
magariel	gabrielllang	1
inradistodilehologne	victorkalt1	3
xavierleroy	guillaumequeruel	3
jeanfrancois	elodieponcet	3
pierrickgaudry	catusciapalamidessi	2
noelthiboud	geoffreyharaux	4
heraultfrederic	odilehennaut	1
heraultfrederic	valentinplichon	2
hugogimbert	jeanpierregesbert	4
inradistodilehologne	alexanderdoria	1
davidbaelde	audreysteinberger	2
benjaminbourdon	celinefouga	3
antonindelpeuch	pascaltobaly	3
griddock	salvetatfrancoise	1
pierrebauvin	benoitrkloeckner	2
aicardistephane	legendre	2
