userA	userB	score
francoisetruffert	olivierpantale	4
martinecoppet	laurentlyaudet	3
adelineregeuniversitedestrasbourg	aymerich	5
mauleskinemouraby	marindacos	3
mariehelenedacos	catherinelandry	7
marcjeanmougin	hurtersavie	5
guillaumecabanac	francoisxaviermas	4
martinecourbincoulaud	annecanteaut	3
favreau	anthonymasure	3
guillaumecabanac	guycobolet1	5
nicolasbraudsantoni	odilebenassy2	5
julianbh	roux3	5
francoisxaviermas	noelthiboud	4
silvanodalzilio	thomaslamarche	3
aymerich	ratsimandravasuzanne	3
celinefouga	inptoulouseinstitutnationalpolytechniquedetoulouse	3
simona	jozefinasadowska	4
lionelrieg	juliengilet1	3
charara	virgileandreani	4
pierrev	jeanpierregesbert	5
laurent	glize	5
stephaniedordcrousle	vincentreverdy	4
pierre1	alexiskauffmann	3
fredericmandon	jeremiebettinelli	3
cenacpeggy	dsa	3
jacquesmillet	hankahensens	4
monnet	geoffreyharaux	3
javellejeanpierre	yannbonnet	3
catherinelandry	paulgirard	5
magariel	mihaelasighireanu	4
patricebellot1	etiennepariat	6
ratsimandravasuzanne	laurentbercot1	4
williamtriggs	ouriachioussama	5
jeanfrancois	thomaslamarche	3
guycobolet1	leclercarmelle	3
marcjeanmougin	dansperber	3
jeanfrancoislutz	durandaline	6
gesbert	colettecadiou	3
adelineregeuniversitedestrasbourg	salvetatfrancoise	3
anthoinebourgeois	consortiumcouperin	3
jeanbaptistemouret	francoisetruffert	6
olivierzendra2	sylvaincrovisier1	4
laurent	francoislermigeaux	3
louisjachiet	sandrinemalotaux	3
mathieublanchard	christineollendorff	3
benjaminbourdon	patricebellot1	3
maxb	nieddu	4
xavierleroy	francisandre	7
horatiucirstea	christinekosmopoulos	4
leboecla	frederichelein	3
alaincimino	danielbourrion	3
julienbect	ludivineabd	5
francoisducrocq	marieannepaveau	5
francoisxaviermas	sbauin	5
violainev	miklarzclement	4
ernoult	davidbenoist	5
2	sophiepochic	3
francoisxaviermas	sophiepochic	3
nieddu	hubertguillaud	4
alainmarois	leclercarmelle	4
williamtriggs	pascaltobaly	5
odilecontat	arnalcedric	5
sr	cecileadamolle	4
gregallaire	pierrenaegelen	4
thomasblanchard	jeankempf	3
francoisrevol	frederichelein	3
sr	mihaelasighireanu	6
thomasletendre	jeanpierregesbert	4
claudeniederlender	huguessamyn	3
julienbect	benoitrkloeckner	3
juliendupredebaubigny	pablorauzy	3
gambazza	mihaelasighireanu	3
thierryfournier	emmanuellecorne	8
jeanbaptistemouret	giselemaxit	6
ericdaspet	arnalcedric	3
delphinedebarre	nicolasdandrimont	3
christinekosmopoulos	emmanuellecorne	8
julienbect	patricebellot1	5
simona	aicardistephane	3
frederiquelangue	hugol	4
dominiquelechaudel	annecanteaut	4
jeanfrancois	ericdaspet	3
juliedacos	olivierjacquot	3
samsond	fredericmandon	3
leoducas	christophebrocquet	3
isabellegouat	romainboistel	6
odilecontat	marindacos	8
merlet	emmanuelhadoux	4
teodorknapik	annecanteaut	3
jeremiebettinelli	marindacos	4
oliviercleynen	etiennepariat	5
bibliothequeuniversitairedeslanguesetcivilisations	annecanteaut	3
gabrielscherer	yannbonnet	3
christophebrocquet	jeanchristophepeyssard	5
gabrielllang	cecileclavaud	3
marcmezzarobba	charlenecriton	3
horatiucirstea	cecileadamolle	3
sr	vincentdanjean	7
baratault	mathildedacos	4
sorouletpillon	romainboistel	7
maisonobeluc	merlet	3
benjaminguichard	valerielarroque	4
francistrautmann	cedrictemple	4
davidmonniaux	marieannepaveau	4
xavierleroy	marcmezzarobba	4
josettelapeyre	philippegambette	3
benjaminprevost	beorchia	4
philippeschnoebelen	etiennepariat	5
aicardistephane	davidbenoist	4
anicetrohee	romainboistel	5
vincentdanjean	sandrinemalotaux	4
celinesmith	davidmonniaux	4
legendre	antoineamarilli	4
annepoupon	duflotjeanluc	4
alainmarois	courtoischantal	5
magariel	roux3	5
damienrobert	elodieponcet	6
yannbonnet	catherinelandry	4
jeanchristophepeyssard	alainberetzpresidentdeluniversitedestrasbourg	9
thomasblanchard	juliengilet1	4
laurentlopez	mauleskinemouraby	3
fredericdanielluclehobey	thierychanier	3
antoineamarilli	glize	4
jeanchristophebach	fouillet	3
roux3	christineleininger	3
celinesmith	nolwennmaudet	4
jouannigot	nicolaslemoine	4
marcjeanmougin	guycobolet1	4
valeryxavierlentz	maximeaudinot	3
louisjachiet	fredericherbreteau	5
aurelienberra	fabienmalbet	3
violainev	elodieponcet	4
hadrienvroylandt	marindacos	3
lucadefeo	philippeschnoebelen	3
jeanfrancois	marlenedelhaye	3
jeanfrancois	charlenecriton	3
bernadettebergeret	violainev	3
teodorknapik	fredericherbreteau	3
nicolasbraudsantoni	cypriengay	3
2	nicolaspetitdemange	3
gibierfrancois	sylvainschmitz	3
remiwatrigant	etiennepariat	5
marieferrazzini	mathieublanchard	3
juliejanody	aicardistephane	4
sbauin	giselemaxit	10
merlet	virgileprevosto	4
fredericmandon	epristassociationdesresponsablesistdesorganismesderecherchefrancais	3
christinelebas	javellejeanpierre	3
marcmezzarobba	sbauin	5
jeanfrancois	sgl	4
christophebrocquet	leclercarmelle	4
alainmarois	durandaline	7
guillaumeaupy	davidbenoist	5
nikolaykovachev	balmon	3
huguesvanbesien	marindacos	3
gesbert	laurentromary	7
juliedacos	marindacos	4
huguesvanbesien	juko	5
brunoringeval	vivienripoll	3
cedrictemple	fizcus	6
ludivineabd	hubertguillaud	5
annecanteaut	sarraderafaele	3
jeanchristophepeyssard	thomaslamarche	4
emmanuellecorne	meheut	4
guillaumecabanac	annecanteaut	4
fouillet	etiennepariat	4
olivierchapuis	cecileclavaud	4
adrienchopin	emmanuelthome	6
thomasletendre	maxenceguesdon	4
ackervalerie	beorchia	3
fredericdanielluclehobey	olivierlegall1	3
jeanfrancoislutz	virgileandreani	7
vincentreverdy	olivierlegall1	17
guillaumecabanac	suzannemallet	3
celinefouga	bernieseek	3
valeryxavierlentz	danielbourrion	4
guillaumeaupy	patrickmassot	4
aymerich	jeremiebettinelli	4
allia	hubertguillaud	4
colettecadiou	nolwennmaudet	3
cedrictemple	nicolasdandrimont	4
pierrickkoch	fizcus	3
gregallaire	pierreboulet1	3
raclet	glize	4
pierreboulet1	bernardteissier	3
heraultfrederic	briot	4
abharmach	valeryxavierlentz	5
romainboistel	sebastienlebonnois	3
monnet	henrigaly	4
barrierejeanpaul	yvesdelavilleguerin	5
benjaminprevost	hugogimbert	4
jeanpierregesbert	clairelemercier	7
maisonobeluc	sbauin	10
guycobolet1	ouriachioussama	3
louisgesbert	emmanuellehelly	3
nicolaslemoine	laurentromary	4
allia	sebastienbenzekry	6
pierrebauvin	vincentreverdy	5
sgl	courtoischantal	3
jeremiedetrey	laurentlopez	3
julienbect	clairelemercier	7
maxenceguesdon	aicardistephane	4
sr	gabrielscherer	3
cavetdominique	nicolasdandrimont	3
jeanbaptistemouret	pablorauzy	3
cecileclavaud	vincentbattesti	3
stephaniegroudiev	aurelienberra	7
sophiepochic	aicardistephane	3
adelineregeuniversitedestrasbourg	odilebenassy2	5
silvanodalzilio	fredericherbreteau	3
guycobolet1	benjaminbourdon	3
christofschoch	favreguillaume	3
elodieponcet	jeanpierregesbert	4
